,ecephys_session_id,channel_ids
68,1115368723,"[1144219146 1144219150 1144219154 1144219158 1144219162 1144219166
 1144219170 1144219174 1144219178 1144219182 1144219187 1144219191
 1144219195 1144219199 1144219203 1144219207 1144219211 1144219215
 1144219219 1144219223 1144219227 1144219231]"
69,1116941914,"[1144242584 1144242588 1144242592 1144242596 1144242600 1144242604
 1144242608 1144242612 1144242617 1144242621 1144242625 1144242629
 1144242634 1144242638 1144242642 1144242646 1144242650 1144242654
 1144242658]"
70,1117148442,"[1126232307 1126232311 1126232315 1126232319 1126232323 1126232327
 1126232331 1126232336 1126232340 1126232344 1126232348 1126232352
 1126232356 1126232360 1126232364 1126232369]"
71,1118324999,"[1144202602 1144202606 1144202610 1144202615 1144202619 1144202623
 1144202627 1144202632 1144202636 1144202640 1144202644 1144202648
 1144202652 1144202656 1144202660 1144202664 1144202668 1144202672
 1144202676 1144202680]"
72,1118327332,"[1138167032 1138167037 1138167041 1138167045 1138167050 1138167058
 1138167067 1138167074 1138167083 1138167092 1138167100 1138167109
 1138167117 1138167126 1138167136 1138167144 1138167151 1138167165]"
73,1118508667,"[1138166779 1138166786 1138166794 1138166801 1138166810 1138166818
 1138166825 1138166830 1138166837 1138166844 1138166851 1138166857
 1138166864 1138166870 1138166877 1138166884 1138166891 1138166898
 1138166904 1138166910]"
74,1118512505,"[1126267083 1126267087 1126267091 1126267095 1126267100 1126267104
 1126267108 1126267112 1126267116 1126267120 1126267124 1126267128
 1126267132 1126267136 1126267140 1126267144 1126267148 1126267152
 1126267156 1126267161]"
75,1119946360,"[1126278933 1126278943 1126278952 1126278962 1126278972 1126278982
 1126278992 1126279002 1126279012 1126279023 1126279030 1126279034
 1126279039 1126279043 1126279047 1126279051 1126279058 1126279066
 1126279075 1126279085 1126279095 1126279106]"
76,1120251466,"[1126278063 1126278071 1126278080 1126278087 1126278096 1126278104
 1126278110 1126278117 1126278125 1126278132 1126278141 1126278148
 1126278156 1126278164 1126278172 1126278180 1126278187 1126278193
 1126278199 1126278206 1126278212 1126278219]"
77,1121406444,"[1126250157 1126250161 1126250165 1126250169 1126250173 1126250177
 1126250181 1126250185 1126250189 1126250193 1126250197 1126250201
 1126250205 1126250209 1126250213 1126250217 1126250221]"
78,1121607504,"[1126239706 1126239718 1126239728 1126239740 1126239752 1126239763
 1126239773 1126239781 1126239790 1126239798 1126239805 1126239813
 1126239820 1126239824 1126239828 1126239833 1126239840 1126239847
 1126239854 1126239861]"
79,1122903357,"[1143997352 1143997356 1143997360 1143997364 1143997368 1143997373
 1143997377 1143997381 1143997385 1143997389 1143997393 1143997397
 1143997401 1143997405 1143997409 1143997413 1143997417 1143997421
 1143997425 1143997430]"
80,1124285719,"[1126240343 1126240356 1126240368 1126240379 1126240391 1126240403
 1126240416 1126240429 1126240442 1126240452 1126240465 1126240478
 1126240493 1126240508 1126240519 1126240529 1126240539 1126240551
 1126240563]"
81,1124507277,"[1126236786 1126236796 1126236805 1126236815 1126236826 1126236836
 1126236847 1126236855 1126236866 1126236876 1126236885 1126236895
 1126236901 1126236910 1126236920 1126236930 1126236940 1126236950
 1126236960 1126236971]"
82,1125713722,"[1138146638 1138146644 1138146651 1138146655 1138146659 1138146663
 1138146667 1138146671 1138146678 1138146686 1138146692 1138146700
 1138146708 1138146714 1138146720 1138146727]"
83,1125937457,"[1138177423 1138177428 1138177433 1138177439 1138177445 1138177451
 1138177457 1138177463 1138177469 1138177476 1138177482 1138177488
 1138177494 1138177501 1138177507 1138177513 1138177519 1138177525
 1138177532 1138177537]"
84,1128520325,"[1133742828 1133742832 1133742836 1133742840 1133742844 1133742848
 1133742852 1133742856 1133742860 1133742864 1133742868 1133742872
 1133742876 1133742880 1133742884 1133742888 1133742893 1133742897
 1133742901 1133742906 1133742910]"
85,1128719842,"[1144224326 1144224330 1144224334 1144224338 1144224342 1144224346
 1144224350 1144224354 1144224358 1144224363 1144224367 1144224371
 1144224375 1144224379 1144224383 1144224387 1144224391 1144224395
 1144224399 1144224403]"
86,1130113579,"[1138189708 1138189712 1138189716 1138189720 1138189724 1138189728
 1138189732 1138189736 1138189740 1138189744 1138189748 1138189752
 1138189756 1138189761 1138189765 1138189769 1138189773 1138189778
 1138189782]"
87,1130349290,"[1144230448 1144230452 1144230457 1144230462 1144230466 1144230470
 1144230474 1144230478 1144230482 1144230486 1144230490 1144230494
 1144230498 1144230502 1144230506 1144230510 1144230514 1144230518
 1144230522 1144230527]"
88,1139846596,"[1153688534 1153688538 1153688542 1153688546 1153688550 1153688554
 1153688558 1153688562 1153688567 1153688571 1153688575 1153688579
 1153688583 1153688587 1153688591 1153688595 1153688599 1153688603
 1153688607 1153688611 1153688615 1153688619 1153688623]"
89,1140102579,"[1157471358 1157471362 1157471366 1157471370 1157471374 1157471378
 1157471382 1157471386 1157471390 1157471394 1157471398 1157471402
 1157471406 1157471410 1157471414 1157471418 1157471422 1157471427
 1157471431 1157471435 1157471440 1157471444 1157471448]"
90,1152632711,"[1154602393 1154602397 1154602401 1154602405 1154602409 1154602413
 1154602419 1154602423 1154602427 1154602431 1154602435 1154602439
 1154602443 1154602447 1154602451 1154602455 1154602459 1154602463
 1154602467 1154602471 1154602475]"
91,1152811536,"[1154606463 1154606467 1154606471 1154606475 1154606479 1154606483
 1154606487 1154606492 1154606496 1154606500 1154606504 1154606508
 1154606512 1154606516 1154606520 1154606524 1154606528 1154606532
 1154606536 1154606540 1154606544 1154606548 1154606552]"
